Date,Data 
1,5.01E+01
2,5.03E+01
3,5.01E+01
4,5.01E+01
5,4.96E+01
6,4.93E+01
7,4.87E+01
8,4.84E+01
9,4.83E+01
10,4.78E+01
11,4.82E+01
12,4.86E+01
13,4.81E+01
14,4.84E+01
15,4.85E+01
16,4.77E+01
17,4.72E+01
18,4.66E+01
19,4.63E+01
20,4.58E+01
21,4.53E+01
22,4.49E+01
23,4.47E+01
24,4.52E+01
25,4.45E+01
26,4.48E+01
27,4.54E+01
28,4.59E+01
29,4.57E+01
30,4.58E+01
31,4.58E+01
32,4.60E+01
33,4.60E+01
34,4.57E+01
35,4.63E+01
36,4.71E+01
37,4.86E+01
38,4.98E+01
39,5.18E+01
40,5.31E+01
41,5.41E+01
42,5.62E+01
43,5.78E+01
44,5.91E+01
45,6.08E+01
46,6.18E+01
47,6.32E+01
48,6.41E+01
49,6.50E+01
50,6.62E+01
51,6.63E+01
52,6.68E+01
53,6.69E+01
54,6.73E+01
55,6.75E+01
56,6.82E+01
57,6.84E+01
58,6.85E+01
59,6.89E+01
60,6.91E+01
61,6.98E+01
62,6.96E+01
63,6.97E+01
64,7.05E+01
65,7.07E+01
66,7.07E+01
67,7.21E+01
68,7.30E+01
69,7.38E+01
70,7.47E+01
71,7.58E+01
72,7.67E+01
73,7.75E+01
74,7.80E+01
75,7.84E+01
76,7.92E+01
77,7.94E+01
78,7.94E+01
79,7.93E+01
80,7.92E+01
81,7.93E+01
82,7.95E+01
83,7.98E+01
84,7.96E+01
85,7.96E+01
86,7.96E+01
87,7.92E+01
88,7.88E+01
89,7.82E+01
90,7.76E+01
91,7.72E+01
92,7.62E+01
93,7.51E+01
94,7.37E+01
95,7.18E+01
96,7.03E+01
97,6.95E+01
98,6.83E+01
99,6.80E+01
100,6.76E+01
101,6.73E+01
102,6.73E+01
103,6.72E+01
104,6.67E+01
105,6.56E+01
106,6.53E+01
107,6.50E+01
108,6.47E+01
109,6.47E+01
110,6.47E+01
111,6.48E+01
112,6.46E+01
113,6.48E+01
114,6.45E+01
115,6.40E+01
116,6.41E+01
117,6.43E+01
118,6.34E+01
119,6.25E+01
120,6.22E+01
121,6.24E+01
122,6.13E+01
123,6.11E+01
124,6.06E+01
125,6.02E+01
126,5.98E+01
127,5.93E+01
128,5.92E+01
129,5.86E+01
130,5.85E+01
131,5.82E+01
132,5.76E+01
133,5.79E+01
134,5.76E+01
135,5.83E+01
136,5.77E+01
137,5.78E+01
138,5.77E+01
139,5.70E+01
140,5.66E+01
141,5.67E+01
142,5.68E+01
143,5.70E+01
144,5.70E+01
145,5.70E+01
146,5.72E+01
147,5.77E+01
148,5.76E+01
149,5.79E+01
150,5.77E+01
151,5.75E+01
152,5.65E+01
153,5.61E+01
154,5.64E+01
155,5.63E+01
156,5.69E+01
157,5.63E+01
158,5.66E+01
159,5.66E+01
160,5.64E+01
161,5.66E+01
162,5.61E+01
163,5.58E+01
164,5.51E+01
165,5.50E+01
166,5.48E+01
167,5.46E+01
168,5.42E+01
169,5.48E+01
170,5.49E+01
171,5.49E+01
172,5.42E+01
173,5.42E+01
174,5.41E+01
175,5.42E+01
176,5.38E+01
177,5.35E+01
178,5.36E+01
179,5.31E+01
180,5.32E+01
181,5.31E+01
182,5.31E+01
183,5.29E+01
184,5.24E+01
185,5.25E+01
186,5.14E+01
187,5.14E+01
188,5.04E+01
189,5.03E+01
190,5.04E+01
191,5.05E+01
192,5.00E+01
193,4.98E+01
194,4.97E+01
195,4.90E+01
196,4.87E+01
197,4.90E+01
198,4.90E+01
199,4.87E+01
200,4.87E+01
201,4.80E+01
202,4.79E+01
203,4.79E+01
204,4.76E+01
205,4.72E+01
206,4.71E+01
207,4.71E+01
208,4.75E+01
209,4.76E+01
210,4.76E+01
211,4.78E+01
212,4.76E+01
213,4.79E+01
214,4.90E+01
215,5.08E+01
216,5.25E+01
217,5.38E+01
218,5.56E+01
219,5.70E+01
220,5.86E+01
221,6.03E+01
222,6.22E+01
223,6.41E+01
224,6.59E+01
225,6.72E+01
226,6.82E+01
227,6.94E+01
228,7.00E+01
229,6.99E+01
230,7.02E+01
231,7.07E+01
232,7.09E+01
233,7.11E+01
234,7.12E+01
235,7.18E+01
236,7.21E+01
237,7.27E+01
238,7.30E+01
239,7.41E+01
240,7.45E+01
241,7.51E+01
242,7.52E+01
243,7.59E+01
244,7.65E+01
245,7.73E+01
246,7.78E+01
247,7.83E+01
248,7.90E+01
249,7.95E+01
250,7.99E+01
251,8.02E+01
252,8.10E+01
253,8.19E+01
254,8.30E+01
255,8.39E+01
256,8.46E+01
257,8.50E+01
258,8.48E+01
259,8.50E+01
260,8.47E+01
261,8.49E+01
262,8.46E+01
263,8.47E+01
264,8.45E+01
265,8.37E+01
266,8.32E+01
267,8.25E+01
268,8.23E+01
269,8.13E+01
270,8.06E+01
271,7.98E+01
272,7.84E+01
273,7.66E+01
274,7.56E+01
275,7.41E+01
276,7.30E+01
277,7.21E+01
278,7.12E+01
279,7.10E+01
280,7.09E+01
281,7.07E+01
282,7.03E+01
283,6.97E+01
284,6.93E+01
285,6.86E+01
286,6.85E+01
287,6.82E+01
288,6.76E+01
289,6.74E+01
290,6.65E+01
291,6.62E+01
292,6.63E+01
293,6.56E+01
294,6.54E+01
295,6.53E+01
296,6.48E+01
297,6.51E+01
298,6.49E+01
299,6.47E+01
300,6.48E+01
301,6.41E+01
302,6.41E+01
303,6.40E+01
304,6.28E+01
305,6.16E+01
306,6.12E+01
307,6.07E+01
308,6.04E+01
309,6.07E+01
