Date,Data
1,-6.30E+01
2,-8.90E+01
3,-2.70E+01
4,-1.90E+01
5,-1.90E+01
6,-1.90E+01
7,-1.90E+01
8,-1.90E+01
9,-1.90E+01
10,-1.90E+01
11,-1.80E+01
12,-1.70E+01
13,-1.80E+01
14,-1.90E+01
15,-1.80E+01
16,-1.70E+01
17,-1.60E+01
18,-1.50E+01
19,-1.40E+01
20,-1.30E+01
21,-1.30E+01
22,-1.30E+01
23,-1.20E+01
24,-1.10E+01
25,-1.10E+01
26,-1.10E+01
27,-1.00E+01
28,-9.00E+00
29,-9.00E+00
30,-9.00E+00
31,-8.00E+00
32,-7.00E+00
33,-6.00E+00
34,-5.00E+00
35,-4.00E+00
36,-2.00E+00
37,0.00E+00
38,1.00E+00
39,2.00E+00
40,3.00E+00
41,4.00E+00
42,7.00E+00
43,1.00E+01
44,1.20E+01
45,1.30E+01
46,1.50E+01
47,1.70E+01
48,2.10E+01
49,2.50E+01
50,2.70E+01
51,2.90E+01
52,3.00E+01
53,3.10E+01
54,3.10E+01
55,3.10E+01
56,2.90E+01
57,2.70E+01
58,2.50E+01
59,2.30E+01
60,2.10E+01
61,1.80E+01
62,1.40E+01
63,9.00E+00
64,4.00E+00
65,-1.00E+00
66,-5.00E+00
67,-8.00E+00
68,-1.00E+01
69,-1.20E+01
70,-1.50E+01
71,-1.70E+01
72,-1.80E+01
73,-2.00E+01
74,-2.20E+01
75,-2.30E+01
76,-2.30E+01
77,-2.30E+01
78,-2.30E+01
79,-2.30E+01
80,-2.30E+01
81,-2.30E+01
82,-2.20E+01
83,-2.10E+01
84,-2.10E+01
85,-2.10E+01
86,-2.10E+01
87,-2.00E+01
88,-1.90E+01
89,-1.80E+01
90,-1.70E+01
91,-1.70E+01
92,-1.70E+01
93,-1.60E+01
94,-1.50E+01
95,-1.60E+01
96,-1.70E+01
97,-1.60E+01
98,-1.50E+01
99,-1.40E+01
100,-1.30E+01
101,-1.30E+01
102,-1.30E+01
103,-1.50E+01
104,-1.70E+01
105,-1.60E+01
106,-1.50E+01
107,-1.60E+01
108,-1.70E+01
109,-1.80E+01
