data_id,name,train_end_idx,anomaly_start,anomaly_end
1,DISTORTED1sddb40,35000,52000,52620
2,DISTORTED2sddb40,35000,56600,56900
3,DISTORTED3sddb40,35000,46600,46900
4,DISTORTEDBIDMC1,2500,5400,5600
5,DISTORTEDCIMIS44AirTemperature1,4000,5391,5392
6,DISTORTEDCIMIS44AirTemperature2,4000,5703,5727
7,DISTORTEDCIMIS44AirTemperature3,4000,6520,6544
8,DISTORTEDCIMIS44AirTemperature4,4000,5549,5597
9,DISTORTEDCIMIS44AirTemperature5,4000,4852,4900
10,DISTORTEDCIMIS44AirTemperature6,4000,6006,6054
11,DISTORTEDECG1,10000,11800,12100
12,DISTORTEDECG2,15000,16000,16100
13,DISTORTEDECG3,15000,16000,16100
14,DISTORTEDECG3,8000,17000,17100
15,DISTORTEDECG4,5000,16800,17100
16,DISTORTEDECG4,5000,16900,17100
17,DISTORTEDECG4,5000,17000,17100
18,DISTORTEDECG4,8000,17000,17100
19,DISTORTEDGP711MarkerLFM5z1,5000,6168,6212
20,DISTORTEDGP711MarkerLFM5z2,5000,7175,7388
21,DISTORTEDGP711MarkerLFM5z3,5000,5948,5993
22,DISTORTEDGP711MarkerLFM5z4,4000,6527,6645
23,DISTORTEDGP711MarkerLFM5z5,5000,8612,8716
24,DISTORTEDInternalBleeding10,3200,4526,4556
25,DISTORTEDInternalBleeding14,2800,5607,5634
26,DISTORTEDInternalBleeding15,1700,5684,5854
27,DISTORTEDInternalBleeding16,1200,4187,4199
28,DISTORTEDInternalBleeding17,1600,3198,3309
29,DISTORTEDInternalBleeding18,2300,4485,4587
30,DISTORTEDInternalBleeding19,3000,4187,4197
31,DISTORTEDInternalBleeding20,2700,5759,5919
32,DISTORTEDInternalBleeding4,1000,4675,5033
33,DISTORTEDInternalBleeding5,4000,6200,6370
34,DISTORTEDInternalBleeding6,1500,3474,3629
35,DISTORTEDInternalBleeding8,2500,5865,5974
36,DISTORTEDInternalBleeding9,4200,6599,6681
37,DISTORTEDLab2Cmac011215EPG1,5000,17210,17260
38,DISTORTEDLab2Cmac011215EPG2,5000,27862,27932
39,DISTORTEDLab2Cmac011215EPG3,5000,16390,16420
40,DISTORTEDLab2Cmac011215EPG4,6000,17390,17520
41,DISTORTEDLab2Cmac011215EPG5,7000,17390,17520
42,DISTORTEDLab2Cmac011215EPG6,7000,12190,12420
43,DISTORTEDMesoplodonDensirostris,10000,19280,19440
44,DISTORTEDPowerDemand1,9000,18485,18821
45,DISTORTEDPowerDemand2,14000,23357,23717
46,DISTORTEDPowerDemand3,16000,23405,23477
47,DISTORTEDPowerDemand4,18000,24005,24077
48,DISTORTEDTkeepFifthMARS,3500,5988,6085
49,DISTORTEDTkeepFirstMARS,3500,5365,5380
50,DISTORTEDTkeepForthMARS,3500,5988,6085
51,DISTORTEDTkeepSecondMARS,3500,9330,9340
52,DISTORTEDTkeepThirdMARS,3500,4711,4809
53,DISTORTEDWalkingAceleration1,1500,2764,2995
54,DISTORTEDWalkingAceleration5,2700,5920,5979
55,DISTORTEDapneaecg2,10000,20950,21100
56,DISTORTEDapneaecg3,5000,11111,11211
57,DISTORTEDapneaecg4,6000,16000,16100
58,DISTORTEDapneaecg,10000,12240,12308
59,DISTORTEDgait1,20000,38500,38800
60,DISTORTEDgait2,22000,46500,46800
